Hours,Price (€),Volume (MWh)
00h-01h,19.13,19595.4
01h-02h,15.93,19525.0
02h-03h,6.0,19211.6
03h-04h,4.9,19118.8
04h-05h,4.9,19345.0
05h-06h,5.0,19381.3
06h-07h,16.7,19087.5
07h-08h,44.2,18606.2
08h-09h,45.5,18914.8
09h-10h,45.5,20114.9
10h-11h,44.8,21403.9
11h-12h,34.52,23200.6
12h-13h,17.29,24527.0
13h-14h,12.99,24828.7
14h-15h,5.1,24859.2
15h-16h,5.0,24735.8
16h-17h,18.38,23947.2
17h-18h,43.5,21789.4
18h-19h,45.4,21003.4
19h-20h,49.1,20969.6
20h-21h,54.88,20844.7
21h-22h,46.8,20905.6
22h-23h,43.37,20638.4
23h-24h,18.03,20978.1
