Hours,Price (€),Volume (MWh)
00h-01h,98.92,14274.8
01h-02h,100.0,13064.9
02h-03h,98.43,12655.6
03h-04h,98.62,12410.1
04h-05h,97.15,12158.7
05h-06h,97.53,11625.8
06h-07h,102.79,12390.6
07h-08h,108.28,15882.9
08h-09h,122.55,17529.4
09h-10h,120.75,18381.1
10h-11h,110.32,19053.0
11h-12h,107.67,18905.9
12h-13h,107.01,19317.4
13h-14h,106.48,19191.9
14h-15h,107.07,18666.9
15h-16h,114.75,19948.9
16h-17h,124.29,19266.1
17h-18h,137.35,18205.8
18h-19h,137.0,18370.9
19h-20h,138.95,18486.6
20h-21h,148.01,18438.3
21h-22h,130.0,18146.6
22h-23h,111.86,16808.3
23h-24h,106.11,15066.2
