Hours,Price (€),Volume (MWh)
00h-01h,52.5,17694.2
01h-02h,45.0,18354.5
02h-03h,44.2,18237.4
03h-04h,43.5,18082.5
04h-05h,23.99,17994.2
05h-06h,23.99,17888.2
06h-07h,30.51,17657.3
07h-08h,44.4,17177.5
08h-09h,45.8,16922.6
09h-10h,45.0,18635.8
10h-11h,25.0,24007.5
11h-12h,4.0,25836.6
12h-13h,3.2,26410.2
13h-14h,3.2,26907.2
14h-15h,3.2,26733.5
15h-16h,3.2,25998.0
16h-17h,25.0,24165.5
17h-18h,65.0,20449.5
18h-19h,85.96,17915.0
19h-20h,92.05,17955.7
20h-21h,92.14,17696.9
21h-22h,88.0,16872.8
22h-23h,86.57,16715.4
23h-24h,79.87,16940.2
