Hours,Price (€),Volume (MWh)
00h-01h,62.03,13121.8
01h-02h,58.2,13563.5
02h-03h,52.9,14008.5
03h-04h,47.21,13748.2
04h-05h,44.0,13765.4
05h-06h,43.2,13459.7
06h-07h,47.05,13210.4
07h-08h,51.4,13139.5
08h-09h,55.29,12948.2
09h-10h,55.1,14878.6
10h-11h,42.0,18064.9
11h-12h,37.0,19835.1
12h-13h,42.0,20536.7
13h-14h,39.93,20256.5
14h-15h,40.09,19912.1
15h-16h,38.03,19412.7
16h-17h,43.12,17177.5
17h-18h,60.8,14306.5
18h-19h,71.14,13504.0
19h-20h,71.55,13622.7
20h-21h,69.87,12979.9
21h-22h,63.11,12676.6
22h-23h,60.34,13120.3
23h-24h,56.0,13447.5
