Hours,Price (€),Volume (MWh)
00h-01h,90.0,11273.5
01h-02h,87.48,11401.8
02h-03h,82.0,11429.3
03h-04h,78.47,9705.4
04h-05h,75.0,9662.0
05h-06h,75.0,9743.0
06h-07h,78.3,9924.1
07h-08h,85.59,9555.0
08h-09h,92.71,10362.0
09h-10h,94.83,12627.7
10h-11h,90.93,15036.8
11h-12h,83.39,16276.3
12h-13h,73.96,16630.1
13h-14h,71.45,16352.8
14h-15h,74.51,15119.3
15h-16h,80.4,14618.7
16h-17h,91.23,13500.7
17h-18h,99.3,13222.0
18h-19h,107.99,13345.6
19h-20h,103.14,13730.0
20h-21h,100.0,13647.3
21h-22h,97.61,12365.5
22h-23h,93.12,11974.1
23h-24h,90.0,11176.7
