Hours,Price (€),Volume (MWh)
00h-01h,86.08,10647.6
01h-02h,80.51,10539.3
02h-03h,77.01,10984.1
03h-04h,70.67,11392.2
04h-05h,61.1,12056.7
05h-06h,68.26,13129.7
06h-07h,75.0,14004.3
07h-08h,86.39,13798.8
08h-09h,90.88,14898.9
09h-10h,90.0,16659.6
10h-11h,76.47,19172.4
11h-12h,57.68,21192.0
12h-13h,45.87,26741.3
13h-14h,44.07,28191.3
14h-15h,40.0,28691.4
15h-16h,30.55,28324.3
16h-17h,44.37,26484.2
17h-18h,67.0,19875.1
18h-19h,75.47,19382.8
19h-20h,78.19,19733.0
20h-21h,79.94,19793.5
21h-22h,78.26,19356.5
22h-23h,75.0,18745.0
23h-24h,68.0,17550.5
