Hours,Price (€),Volume (MWh)
00h-01h,47.0,13323.8
01h-02h,41.8,14179.4
02h-03h,35.0,14608.6
03h-04h,25.0,14752.6
04h-05h,28.1,14798.6
05h-06h,40.0,14617.5
06h-07h,49.01,13322.5
07h-08h,75.0,12931.1
08h-09h,92.69,13014.2
09h-10h,86.66,15827.0
10h-11h,71.08,18960.4
11h-12h,61.99,20601.9
12h-13h,57.67,21345.1
13h-14h,58.48,21698.3
14h-15h,59.87,21811.2
15h-16h,59.99,21323.6
16h-17h,66.07,19005.1
17h-18h,79.09,16292.8
18h-19h,98.18,14998.7
19h-20h,104.91,16348.3
20h-21h,119.0,16729.7
21h-22h,103.21,15662.6
22h-23h,94.27,13673.7
23h-24h,75.93,13030.4
