Hours,Price (€),Volume (MWh)
00h-01h,86.0,11472.8
01h-02h,78.93,10998.7
02h-03h,73.73,10781.0
03h-04h,71.69,10431.2
04h-05h,70.94,10492.3
05h-06h,71.69,10232.5
06h-07h,80.19,10177.3
07h-08h,93.18,11696.2
08h-09h,101.5,13306.5
09h-10h,89.02,14244.0
10h-11h,70.69,15905.4
11h-12h,61.8,18016.3
12h-13h,59.87,18722.4
13h-14h,58.2,18733.6
14h-15h,58.2,18672.5
15h-16h,60.5,18466.8
16h-17h,64.0,16563.9
17h-18h,88.61,13903.4
18h-19h,94.94,14283.6
19h-20h,150.41,15334.5
20h-21h,152.17,15640.8
21h-22h,103.0,15315.6
22h-23h,88.04,13670.0
23h-24h,74.86,12417.1
