Hours,Price (€),Volume (MWh)
00h-01h,64.97,11101.7
01h-02h,61.06,10368.3
02h-03h,59.05,10860.4
03h-04h,55.9,10763.9
04h-05h,55.9,11072.3
05h-06h,57.22,10843.4
06h-07h,59.36,10330.9
07h-08h,66.19,9934.0
08h-09h,78.09,10897.6
09h-10h,73.4,13354.7
10h-11h,62.01,15027.0
11h-12h,54.4,16919.2
12h-13h,47.0,17873.1
13h-14h,47.7,18016.9
14h-15h,47.5,18051.9
15h-16h,47.0,17959.4
16h-17h,55.2,15723.7
17h-18h,74.43,13036.3
18h-19h,95.97,12236.1
19h-20h,92.51,11533.0
20h-21h,92.53,11642.2
21h-22h,89.5,11481.0
22h-23h,75.97,10147.3
23h-24h,72.7,10443.5
