Hours,Price (€),Volume (MWh)
00h-01h,91.75,16226.1
01h-02h,86.18,16537.3
02h-03h,82.1,16756.1
03h-04h,80.0,16866.3
04h-05h,79.6,16912.8
05h-06h,81.1,16739.5
06h-07h,85.91,15854.7
07h-08h,102.05,17450.9
08h-09h,113.84,18663.3
09h-10h,110.0,20043.2
10h-11h,97.63,21233.6
11h-12h,86.18,22192.5
12h-13h,83.89,22785.3
13h-14h,82.18,22861.9
14h-15h,83.0,22780.4
15h-16h,85.0,22452.7
16h-17h,97.63,21286.0
17h-18h,118.5,21078.2
18h-19h,128.93,20480.6
19h-20h,132.31,20631.4
20h-21h,117.93,18908.9
21h-22h,108.33,18125.8
22h-23h,100.0,16872.5
23h-24h,93.26,14289.9
