Hours,Price (€),Volume (MWh)
00h-01h,64.97,12735.9
01h-02h,60.53,12853.2
02h-03h,60.0,13006.3
03h-04h,55.36,12639.6
04h-05h,57.26,12570.8
05h-06h,63.29,12222.6
06h-07h,72.45,12505.1
07h-08h,83.5,13323.3
08h-09h,95.53,14067.9
09h-10h,89.84,15928.5
10h-11h,74.71,19461.9
11h-12h,65.01,20868.9
12h-13h,64.97,20981.8
13h-14h,64.97,20650.3
14h-15h,65.0,20306.9
15h-16h,61.85,20193.0
16h-17h,67.67,18180.5
17h-18h,75.59,16085.1
18h-19h,94.72,14183.7
19h-20h,113.0,14364.6
20h-21h,135.36,14436.9
21h-22h,103.01,13672.4
22h-23h,80.95,13043.0
23h-24h,73.58,12008.1
