Hours,Price (€),Volume (MWh)
00h-01h,71.94,12701.7
01h-02h,68.64,12471.6
02h-03h,69.37,11599.3
03h-04h,65.1,10789.8
04h-05h,64.0,11090.4
05h-06h,69.37,11158.3
06h-07h,79.02,11460.9
07h-08h,91.04,10678.4
08h-09h,95.95,12621.0
09h-10h,88.7,12752.2
10h-11h,77.15,15994.5
11h-12h,70.1,18215.9
12h-13h,68.1,18841.0
13h-14h,68.23,19265.7
14h-15h,71.93,19672.1
15h-16h,71.95,19615.2
16h-17h,78.89,18235.1
17h-18h,88.83,15626.1
18h-19h,99.76,14633.6
19h-20h,107.0,14357.2
20h-21h,123.22,14355.1
21h-22h,95.06,14052.0
22h-23h,88.7,12044.1
23h-24h,78.78,11287.0
