Hours,Price (€),Volume (MWh)
00h-01h,69.07,12218.0
01h-02h,59.11,12041.6
02h-03h,58.2,12317.0
03h-04h,57.57,12098.5
04h-05h,57.5,11974.8
05h-06h,57.5,11217.3
06h-07h,57.5,10926.9
07h-08h,59.0,10775.3
08h-09h,60.1,10349.3
09h-10h,59.0,12392.1
10h-11h,58.64,15363.6
11h-12h,56.8,17748.5
12h-13h,56.36,18711.9
13h-14h,47.42,18613.4
14h-15h,52.67,18942.5
15h-16h,53.75,19308.2
16h-17h,56.89,17694.7
17h-18h,64.89,14635.1
18h-19h,83.98,11332.7
19h-20h,93.52,11854.4
20h-21h,95.62,11967.6
21h-22h,94.52,12105.0
22h-23h,76.83,11943.5
23h-24h,59.2,12479.8
