Hours,Price (€),Volume (MWh)
00h-01h,84.08,14296.5
01h-02h,79.82,14654.8
02h-03h,76.76,14862.9
03h-04h,73.46,14614.8
04h-05h,71.86,14568.9
05h-06h,72.08,14678.7
06h-07h,74.9,14474.9
07h-08h,77.69,14237.5
08h-09h,81.79,13989.9
09h-10h,84.86,16035.8
10h-11h,61.0,19168.7
11h-12h,55.87,23792.9
12h-13h,50.6,25014.1
13h-14h,51.77,25397.9
14h-15h,49.98,25534.6
15h-16h,45.57,25313.0
16h-17h,60.0,20126.1
17h-18h,92.05,17137.5
18h-19h,104.85,16745.4
19h-20h,103.55,16467.2
20h-21h,100.5,15845.8
21h-22h,95.89,14566.7
22h-23h,91.17,13904.5
23h-24h,83.86,14064.8
