Hours,Price (€),Volume (MWh)
00h-01h,63.33,8744.9
01h-02h,50.09,8671.4
02h-03h,47.5,8280.1
03h-04h,43.5,8209.7
04h-05h,42.5,8101.9
05h-06h,42.09,8165.9
06h-07h,42.5,8209.1
07h-08h,42.59,8387.9
08h-09h,43.37,8792.6
09h-10h,42.29,11450.9
10h-11h,25.0,14268.8
11h-12h,3.9,16306.1
12h-13h,3.2,17465.7
13h-14h,2.06,18071.1
14h-15h,1.73,18622.9
15h-16h,5.72,21278.7
16h-17h,18.49,18805.7
17h-18h,37.0,14707.3
18h-19h,47.5,11724.0
19h-20h,54.97,11298.2
20h-21h,60.9,11132.9
21h-22h,60.0,11251.8
22h-23h,47.5,11154.9
23h-24h,42.09,11000.1
