Hours,Price (€),Volume (MWh)
00h-01h,86.59,14127.6
01h-02h,83.33,13694.2
02h-03h,80.94,13838.6
03h-04h,78.65,13943.8
04h-05h,78.35,14039.2
05h-06h,80.37,13922.0
06h-07h,89.0,13226.5
07h-08h,101.0,15613.6
08h-09h,127.07,17429.3
09h-10h,120.18,17894.0
10h-11h,99.28,18503.4
11h-12h,91.69,18915.3
12h-13h,93.0,18686.0
13h-14h,89.42,19311.6
14h-15h,90.0,19053.9
15h-16h,88.0,18380.0
16h-17h,84.88,18409.4
17h-18h,88.0,17541.5
18h-19h,89.02,17643.4
19h-20h,99.49,17995.9
20h-21h,99.78,18513.7
21h-22h,88.75,17401.1
22h-23h,75.99,17698.3
23h-24h,60.0,18659.0
