Hours,Price (€),Volume (MWh)
00h-01h,63.37,11775.5
01h-02h,65.0,9956.0
02h-03h,63.86,9613.9
03h-04h,63.86,9363.4
04h-05h,62.48,9302.5
05h-06h,63.86,8969.8
06h-07h,69.57,9772.3
07h-08h,80.02,10444.2
08h-09h,115.0,11988.6
09h-10h,77.3,13306.2
10h-11h,66.19,16384.0
11h-12h,62.39,16787.0
12h-13h,55.78,17667.0
13h-14h,50.7,18012.7
14h-15h,53.61,18195.0
15h-16h,55.52,18096.2
16h-17h,63.38,17492.6
17h-18h,73.74,15691.6
18h-19h,89.62,13025.2
19h-20h,96.8,13272.8
20h-21h,111.07,13455.3
21h-22h,93.0,12506.8
22h-23h,74.98,11978.7
23h-24h,70.45,11216.1
