Hours,Price (€),Volume (MWh)
00h-01h,37.8,11641.3
01h-02h,25.0,12463.1
02h-03h,3.99,12531.5
03h-04h,14.0,12956.5
04h-05h,10.0,13009.5
05h-06h,14.54,12774.8
06h-07h,36.29,11872.5
07h-08h,44.7,11378.1
08h-09h,53.78,12218.0
09h-10h,54.23,14133.5
10h-11h,50.0,16735.0
11h-12h,52.2,18047.1
12h-13h,45.0,18575.4
13h-14h,43.0,18908.5
14h-15h,43.0,19049.9
15h-16h,40.99,18729.5
16h-17h,43.66,17299.9
17h-18h,52.2,15756.1
18h-19h,57.77,15673.7
19h-20h,62.45,15956.4
20h-21h,58.0,15625.0
21h-22h,52.83,15306.8
22h-23h,46.26,14386.8
23h-24h,40.1,14229.0
