Hours,Price (€),Volume (MWh)
00h-01h,74.09,12153.0
01h-02h,71.48,12023.1
02h-03h,70.89,11538.6
03h-04h,69.82,11164.6
04h-05h,69.25,11197.4
05h-06h,74.01,11100.9
06h-07h,84.44,10503.0
07h-08h,93.29,13048.2
08h-09h,120.23,13794.2
09h-10h,93.23,15876.2
10h-11h,82.98,16730.2
11h-12h,72.19,19163.0
12h-13h,70.01,19964.5
13h-14h,66.5,19655.1
14h-15h,65.8,19673.4
15h-16h,64.95,19851.6
16h-17h,66.26,18628.6
17h-18h,77.0,15721.1
18h-19h,91.0,13332.4
19h-20h,119.47,14579.6
20h-21h,168.35,14749.1
21h-22h,94.54,14267.4
22h-23h,85.0,12171.6
23h-24h,77.52,10826.8
