Hours,Price (€),Volume (MWh)
00h-01h,81.73,16180.7
01h-02h,77.64,15719.4
02h-03h,74.77,15079.2
03h-04h,68.24,14543.3
04h-05h,66.82,14650.4
05h-06h,69.09,14623.3
06h-07h,75.98,14646.4
07h-08h,99.87,15524.2
08h-09h,75.62,20011.8
09h-10h,35.0,25004.1
10h-11h,10.0,27664.9
11h-12h,3.6,28724.7
12h-13h,0.0,28651.7
13h-14h,0.0,28593.8
14h-15h,0.0,27930.3
15h-16h,0.0,27826.3
16h-17h,0.0,27231.5
17h-18h,0.0,27405.6
18h-19h,0.0,27746.1
19h-20h,35.0,26260.8
20h-21h,56.18,23134.3
21h-22h,67.44,20181.3
22h-23h,62.0,18313.9
23h-24h,50.01,20672.7
