Hours,Price (€),Volume (MWh)
00h-01h,6.8,18024.9
01h-02h,3.2,17142.7
02h-03h,3.2,16304.1
03h-04h,3.2,15706.2
04h-05h,3.2,15647.0
05h-06h,2.21,14267.5
06h-07h,4.78,14605.2
07h-08h,45.42,14096.4
08h-09h,61.92,14371.1
09h-10h,67.0,15458.0
10h-11h,63.6,17164.8
11h-12h,57.1,18062.9
12h-13h,55.0,18576.4
13h-14h,55.42,18800.3
14h-15h,61.0,18561.1
15h-16h,66.03,17455.3
16h-17h,67.52,15283.5
17h-18h,89.57,14414.7
18h-19h,94.2,14473.3
19h-20h,104.35,14439.1
20h-21h,113.26,14760.9
21h-22h,113.26,14283.3
22h-23h,94.2,12815.5
23h-24h,86.58,11284.7
