Hours,Price (€),Volume (MWh)
00h-01h,77.7,17584.1
01h-02h,67.0,17737.2
02h-03h,64.99,17642.5
03h-04h,62.04,17510.7
04h-05h,62.1,17399.0
05h-06h,65.1,17136.1
06h-07h,69.13,16543.6
07h-08h,86.74,15427.0
08h-09h,99.52,16015.5
09h-10h,100.33,16766.8
10h-11h,94.92,17333.0
11h-12h,90.3,17896.4
12h-13h,85.7,18413.0
13h-14h,82.41,18843.9
14h-15h,84.99,19254.6
15h-16h,90.1,19536.8
16h-17h,95.82,19078.3
17h-18h,100.0,19117.6
18h-19h,112.85,19213.1
19h-20h,113.9,18602.7
20h-21h,107.58,17700.7
21h-22h,100.0,17236.1
22h-23h,97.21,14812.9
23h-24h,91.0,13943.0
