Hours,Price (€),Volume (MWh)
00h-01h,73.75,16796.4
01h-02h,63.92,16506.4
02h-03h,63.81,15708.7
03h-04h,63.81,14814.7
04h-05h,63.68,13942.8
05h-06h,66.1,12780.4
06h-07h,70.3,11757.3
07h-08h,75.93,10574.5
08h-09h,84.09,9199.2
09h-10h,88.31,10372.4
10h-11h,82.85,12984.4
11h-12h,76.64,13940.1
12h-13h,74.65,14511.2
13h-14h,69.84,14615.8
14h-15h,73.41,15402.2
15h-16h,79.21,15644.7
16h-17h,87.97,14371.8
17h-18h,95.07,13169.0
18h-19h,99.94,12835.7
19h-20h,99.58,12975.7
20h-21h,99.94,13376.8
21h-22h,99.58,13011.7
22h-23h,94.46,11606.7
23h-24h,85.78,10392.9
