Hours,Price (€),Volume (MWh)
00h-01h,86.97,14282.6
01h-02h,84.18,14791.0
02h-03h,81.53,15073.1
03h-04h,78.79,15094.3
04h-05h,78.43,15014.8
05h-06h,82.1,14603.4
06h-07h,94.3,15413.2
07h-08h,111.07,16733.3
08h-09h,120.4,18486.9
09h-10h,116.98,20450.2
10h-11h,110.57,21681.1
11h-12h,103.0,21632.5
12h-13h,95.46,21959.0
13h-14h,93.88,21533.1
14h-15h,100.0,21107.2
15h-16h,107.98,21174.3
16h-17h,115.27,20602.5
17h-18h,125.17,19802.6
18h-19h,129.99,18246.2
19h-20h,130.0,17850.2
20h-21h,133.28,18148.8
21h-22h,129.47,16795.8
22h-23h,115.42,15463.9
23h-24h,107.98,13013.1
