Hours,Price (€),Volume (MWh)
00h-01h,92.33,13248.9
01h-02h,90.12,12414.6
02h-03h,87.01,12403.0
03h-04h,85.8,12285.2
04h-05h,85.0,12320.0
05h-06h,86.3,12333.3
06h-07h,95.0,12810.1
07h-08h,103.94,15109.1
08h-09h,121.4,16851.2
09h-10h,121.4,17993.2
10h-11h,105.38,19014.1
11h-12h,102.97,19565.1
12h-13h,99.99,19661.6
13h-14h,98.5,19862.2
14h-15h,94.76,19666.6
15h-16h,94.73,19220.4
16h-17h,99.37,18791.2
17h-18h,102.7,18706.2
18h-19h,111.29,19458.3
19h-20h,121.4,19875.6
20h-21h,120.0,19968.0
21h-22h,107.71,19536.6
22h-23h,101.32,17623.9
23h-24h,92.68,16414.0
