Hours,Price (€),Volume (MWh)
00h-01h,86.1,11819.3
01h-02h,82.78,12623.7
02h-03h,78.66,13151.7
03h-04h,72.53,13047.7
04h-05h,69.34,13242.7
05h-06h,69.13,13282.4
06h-07h,69.71,13139.0
07h-08h,72.95,13264.9
08h-09h,77.9,13036.1
09h-10h,79.45,14228.7
10h-11h,74.69,15718.0
11h-12h,69.0,17291.0
12h-13h,67.8,18581.6
13h-14h,65.4,19429.2
14h-15h,63.1,19854.1
15h-16h,62.3,19947.3
16h-17h,65.13,18906.3
17h-18h,72.84,17114.9
18h-19h,86.18,16113.2
19h-20h,92.01,16302.0
20h-21h,86.03,15802.2
21h-22h,84.49,15809.6
22h-23h,82.97,15616.9
23h-24h,72.52,15710.7
