Hours,Price (€),Volume (MWh)
00h-01h,47.88,17459.0
01h-02h,40.0,17285.8
02h-03h,35.0,16360.1
03h-04h,35.0,16338.9
04h-05h,35.0,16508.2
05h-06h,35.0,16383.5
06h-07h,35.0,16873.9
07h-08h,34.21,17060.5
08h-09h,30.0,19162.2
09h-10h,15.4,23263.2
10h-11h,7.3,26731.8
11h-12h,3.25,26698.6
12h-13h,0.03,26425.1
13h-14h,0.0,24306.7
14h-15h,0.0,23938.1
15h-16h,0.0,26007.0
16h-17h,0.0,25301.9
17h-18h,0.0,25058.6
18h-19h,0.44,25604.5
19h-20h,14.98,23902.2
20h-21h,45.51,20222.4
21h-22h,65.27,17792.0
22h-23h,62.78,16324.9
23h-24h,58.52,17017.6
