Hours,Price (€),Volume (MWh)
00h-01h,3.2,20377.3
01h-02h,3.2,19557.4
02h-03h,1.68,18838.3
03h-04h,0.43,18350.1
04h-05h,0.99,18269.3
05h-06h,3.2,18376.6
06h-07h,3.2,19685.5
07h-08h,30.1,21269.3
08h-09h,47.19,17902.6
09h-10h,55.77,18848.8
10h-11h,45.27,20515.8
11h-12h,43.66,21546.4
12h-13h,39.19,22754.7
13h-14h,35.0,23128.9
14h-15h,35.3,22927.7
15h-16h,45.4,21414.8
16h-17h,62.17,19661.5
17h-18h,96.02,18841.6
18h-19h,103.71,18895.9
19h-20h,99.6,17979.1
20h-21h,105.34,17927.6
21h-22h,98.84,16768.8
22h-23h,92.14,13773.8
23h-24h,73.61,12948.8
