Hours,Price (€),Volume (MWh)
00h-01h,88.98,13247.7
01h-02h,86.45,12758.2
02h-03h,84.99,12256.4
03h-04h,83.0,11503.5
04h-05h,83.14,11365.9
05h-06h,85.0,11473.1
06h-07h,89.0,13456.3
07h-08h,102.77,15840.7
08h-09h,113.28,17629.5
09h-10h,105.0,18842.5
10h-11h,100.0,19942.2
11h-12h,94.58,21116.7
12h-13h,92.0,21003.3
13h-14h,91.78,20906.7
14h-15h,90.1,20691.9
15h-16h,92.01,20080.0
16h-17h,100.98,20054.2
17h-18h,107.1,18574.3
18h-19h,126.0,18845.1
19h-20h,119.47,18759.5
20h-21h,110.0,17244.9
21h-22h,102.26,15582.5
22h-23h,98.0,14288.9
23h-24h,95.49,12204.8
