Hours,Price (€),Volume (MWh)
00h-01h,71.82,13611.3
01h-02h,67.44,13982.0
02h-03h,67.17,14497.0
03h-04h,60.0,15057.2
04h-05h,54.79,15603.0
05h-06h,50.0,16246.9
06h-07h,60.0,16703.1
07h-08h,74.4,17373.3
08h-09h,82.32,19215.4
09h-10h,87.33,20235.4
10h-11h,81.0,20458.2
11h-12h,78.0,20635.4
12h-13h,78.74,21630.1
13h-14h,70.83,22188.8
14h-15h,61.13,22390.0
15h-16h,60.14,22252.3
16h-17h,63.0,21653.3
17h-18h,69.18,20775.9
18h-19h,80.5,20114.7
19h-20h,84.2,21526.0
20h-21h,82.88,21184.2
21h-22h,80.5,19944.9
22h-23h,74.4,19075.7
23h-24h,61.0,18742.5
