Hours,Price (€),Volume (MWh)
00h-01h,90.39,11810.2
01h-02h,87.0,10986.3
02h-03h,80.21,10599.1
03h-04h,70.1,10364.5
04h-05h,66.86,10167.8
05h-06h,68.14,9997.3
06h-07h,86.74,10190.2
07h-08h,94.51,11118.6
08h-09h,96.0,12251.5
09h-10h,98.13,13564.0
10h-11h,95.0,14657.2
11h-12h,90.35,15615.6
12h-13h,89.0,15297.0
13h-14h,85.96,15622.6
14h-15h,92.11,15516.8
15h-16h,98.62,15258.8
16h-17h,99.5,14139.5
17h-18h,100.0,12338.7
18h-19h,102.57,13322.3
19h-20h,104.0,13803.2
20h-21h,105.18,14271.4
21h-22h,102.42,13614.6
22h-23h,99.41,11621.0
23h-24h,90.39,10504.6
