Hours,Price (€),Volume (MWh)
00h-01h,61.1,14460.4
01h-02h,59.0,14371.5
02h-03h,58.5,14055.4
03h-04h,59.87,13535.2
04h-05h,58.5,13584.6
05h-06h,58.5,13568.6
06h-07h,65.55,12619.2
07h-08h,90.1,12948.9
08h-09h,97.5,14091.2
09h-10h,91.86,15277.5
10h-11h,81.0,18152.0
11h-12h,66.65,19871.3
12h-13h,61.91,20136.7
13h-14h,61.03,20459.9
14h-15h,62.01,20501.1
15h-16h,64.0,19646.9
16h-17h,66.62,18039.4
17h-18h,84.0,15378.9
18h-19h,96.98,15078.9
19h-20h,115.0,16630.0
20h-21h,129.01,16755.6
21h-22h,106.76,15982.4
22h-23h,92.5,13970.2
23h-24h,84.51,12177.2
