STRUCTURE,STRUCTURE_ID,freq,product,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,LAST UPDATE
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,ME,2022-S1,0.0961,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,ME,2022-S2,0.0982,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,ME,2023-S1,0.0968,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,ME,2023-S2,0.0970,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MK,2019-S1,4.8192,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MK,2019-S2,4.8558,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MK,2020-S1,4.8186,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MK,2020-S2,5.1382,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MK,2021-S1,5.1836,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MK,2021-S2,5.1790,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MK,2022-S1,5.7963,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MK,2022-S2,6.3435,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MK,2023-S1,6.4855,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MK,2023-S2,7.1289,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MT,2019-S1,0.1290,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MT,2019-S2,0.1304,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MT,2020-S1,0.1284,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MT,2020-S2,0.1301,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MT,2021-S1,0.1285,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MT,2021-S2,0.1318,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,MT,2022-S1,0.1298,,25/04/24 09:10:00
